hhid,round,comment,LivestockID,animaltype,gender,s6q1,s6q2,s6q3,s6q4,s6q5,s6q6,s6q7,s6q66,s6q67
1004,6,0,Sheep(Female),Sheep,Female,0,,,,,,,,
1004,6,0,Cattle(Female),Cattle,Female,0,,,,,,,,
1004,6,0,Goats(Male),Goats,Male,0,,,,,,,,
1005,1,,Cattle(Male),Cattle,Male,0,,,,,,,,
1005,1,,Sheep(Male),Sheep,Male,0,,,,,,,,
1005,1,,Camels(Male),Camels,Male,0,,,,,,,,
1005,1,,Camels(Female),Camels,Female,0,,,,,,,,
1005,1,,Goats(Male),Goats,Male,4,4,2,4,,,,,
1005,1,,Cattle(Female),Cattle,Female,0,,,,,,,,
1005,1,,Goats(Female),Goats,Female,7,7,5,7,2,2,0,,
1005,1,,Sheep(Female),Sheep,Female,0,,,,,,,,
1005,2,,Camels(Male),Camels,Male,0,0,0,0,,,,,
1005,2,,Sheep(Male),Sheep,Male,0,0,0,0,,,,,
1005,2,,Sheep(Female),Sheep,Female,0,0,0,0,0,0,0,,
1005,2,,Cattle(Male),Cattle,Male,0,0,0,0,,,,,
1005,2,,Goats(Female),Goats,Female,4,4,3,4,0,0,0,,
1005,2,,Goats(Male),Goats,Male,5,5,5,5,,,,,
1005,2,,Camels(Female),Camels,Female,0,0,0,0,0,0,0,,
1005,2,,Cattle(Female),Cattle,Female,0,0,0,0,0,0,0,,
1005,3,0,Sheep(Male),Sheep,Male,0,,,,,,,,
1005,3,0,Sheep(Female),Sheep,Female,0,,,,,,,,
1005,3,0,Camels(Male),Camels,Male,0,,,,,,,,
1005,3,0,Goats(Male),Goats,Male,2,2,1,2,,,,,
1005,3,0,Cattle(Male),Cattle,Male,0,,,,,,,,
1005,3,0,Goats(Female),Goats,Female,5,5,4,5,4,4,0,,
1005,3,0,Camels(Female),Camels,Female,0,,,,,,,,
1005,3,0,Cattle(Female),Cattle,Female,0,,,,,,,,
1005,4,0,Goats(Female),Goats,Female,6,6,5,6,4,4,0,,
1005,4,0,Camels(Male),Camels,Male,0,,,,,,,,
1005,4,0,Cattle(Male),Cattle,Male,0,,,,,,,,
1005,4,0,Camels(Female),Camels,Female,0,,,,,,,,
1005,4,0,Sheep(Male),Sheep,Male,0,,,,,,,,
1005,4,0,Cattle(Female),Cattle,Female,0,,,,,,,,
1005,4,0,Sheep(Female),Sheep,Female,0,,,,,,,,
1005,4,0,Goats(Male),Goats,Male,5,5,3,5,,,,,
1005,5,0,Cattle(Male),Cattle,Male,0,,,,,,,,
1005,5,0,Goats(Female),Goats,Female,21,14,10,21,9,9,0,,
1005,5,0,Sheep(Male),Sheep,Male,0,,,,,,,,
1005,5,0,Goats(Male),Goats,Male,8,6,3,5,,,,,
1005,5,0,Camels(Male),Camels,Male,0,,,,,,,,
1005,5,0,Sheep(Female),Sheep,Female,0,,,,,,,,
1005,5,0,Camels(Female),Camels,Female,0,,,,,,,,
1005,5,0,Cattle(Female),Cattle,Female,0,,,,,,,,
1005,6,0,Camels(Female),Camels,Female,0,,,,,,,,
1005,6,0,Goats(Male),Goats,Male,0,,,,,,,,
1005,6,0,Cattle(Female),Cattle,Female,0,,,,,,,,
1005,6,0,Cattle(Male),Cattle,Male,0,,,,,,,,
1005,6,0,Sheep(Female),Sheep,Female,0,,,,,,,,
1005,6,0,Camels(Male),Camels,Male,0,,,,,,,,
1005,6,0,Goats(Female),Goats,Female,0,,,,,,,,
1005,6,0,Sheep(Male),Sheep,Male,0,,,,,,,,
1005,7,,Goat Both,Goats,Both,5,5,,,,,,,
1006,1,,Cattle(Female),Cattle,Female,4,4,2,0,2,0,2,,
1006,1,,Camels(Female),Camels,Female,0,,,,,,,,
1006,1,,Sheep(Male),Sheep,Male,0,,,,,,,,
1006,1,,Sheep(Female),Sheep,Female,0,,,,,,,,
1006,1,,Goats(Male),Goats,Male,2,2,2,0,,,,,
1006,1,,Goats(Female),Goats,Female,8,8,8,0,2,0,2,,
1006,1,,Camels(Male),Camels,Male,0,,,,,,,,
1006,1,,Cattle(Male),Cattle,Male,1,1,1,0,,,,,
1006,2,,Goats(Female),Goats,Female,11,11,8,0,0,0,0,,
1006,2,,Goats(Male),Goats,Male,3,3,2,0,,,,,
1006,2,,Camels(Male),Camels,Male,0,0,0,0,,,,,
1006,2,,Sheep(Male),Sheep,Male,0,0,0,0,,,,,
1006,2,,Cattle(Male),Cattle,Male,1,1,1,0,,,,,
1006,2,,Cattle(Female),Cattle,Female,4,4,4,0,0,0,0,,
1006,2,,Sheep(Female),Sheep,Female,0,0,0,0,0,0,0,,
1006,2,,Camels(Female),Camels,Female,0,0,0,0,0,0,0,,
1006,3,0,Camels(Female),Camels,Female,0,,,,,,,,
1006,3,0,Sheep(Female),Sheep,Female,0,,,,,,,,
1006,3,0,Cattle(Female),Cattle,Female,0,,,,,,,,
1006,3,0,Goats(Male),Goats,Male,0,,,,,,,,
1006,3,0,Cattle(Male),Cattle,Male,0,,,,,,,,
1006,3,0,Goats(Female),Goats,Female,0,,,,,,,,
1006,3,0,Sheep(Male),Sheep,Male,0,,,,,,,,
1006,3,0,Camels(Male),Camels,Male,0,,,,,,,,
1006,4,0,Sheep(Female),Sheep,Female,0,,,,,,,,
1006,4,0,Goats(Female),Goats,Female,0,,,,,,,,
1006,4,0,Cattle(Female),Cattle,Female,3,0,2,3,2,2,0,,
1006,4,0,Sheep(Male),Sheep,Male,0,,,,,,,,
1006,4,0,Camels(Female),Camels,Female,0,,,,,,,,
1006,4,0,Goats(Male),Goats,Male,0,,,,,,,,
1006,4,0,Camels(Male),Camels,Male,0,,,,,,,,
1006,4,0,Cattle(Male),Cattle,Male,3,0,2,3,,,,,
1006,5,0,Goats(Female),Goats,Female,0,,,,,,,,
1006,5,0,Sheep(Female),Sheep,Female,0,,,,,,,,
1006,5,0,Goats(Male),Goats,Male,0,,,,,,,,
1006,5,0,Camels(Male),Camels,Male,0,,,,,,,,
1006,5,0,Sheep(Male),Sheep,Male,0,,,,,,,,
1006,5,0,Cattle(Female),Cattle,Female,7,0,3,7,2,2,0,,
1006,5,0,Camels(Female),Camels,Female,0,,,,,,,,
1006,5,0,Cattle(Male),Cattle,Male,2,0,1,2,,,,,
