hhid,round,comment,lossevent,s6q20a,s6q20b,s6q21,s6q22,s6q22b,s6q23,s6q24,s6q24a,s6q25
1002,1,,3,2009,9,Cattle,Starvation/Drought,,Base camp,2,,2
1002,1,,1,2009,7,Cattle,Starvation/Drought,,Satellite camp,2,,1
1002,1,,2,2009,8, Goat/Sheep,Starvation/Drought,,Satellite camp,3,,3
1002,3,0,4,2011,8, Goat/Sheep, Disease,,Base camp,1,,1
1002,3,0,1,2011,6,Cattle,Starvation/Drought,,Base camp,1,,1
1002,3,0,3,2011,9,Cattle,Starvation/Drought,,Base camp,4,,2
1002,3,0,2,2011,8,Cattle,Starvation/Drought,,Base camp,3,,1
1002,5,0,3,2013,2,Cattle, Disease,,Base camp,1,,1
1002,5,0,1,2012,10,Cattle, Disease,,Base camp,1,,1
1002,5,0,2,2013,1,Cattle, Disease,,Base camp,1,,1
1003,1,,2,2009,9,Cattle,Starvation/Drought,,Satellite camp,1,,1
1003,1,,1,2009,8,Cattle,Starvation/Drought,,Base camp,2,,1
1003,3,0,1,2010,11,Cattle,Starvation/Drought,,Base camp,1,,1
1003,5,0,1,2013,1,Cattle, Disease,,Base camp,1,,1
1003,7,,1,2020,8,Cattle,Predation,,,1,1,
1004,1,,2,2009,8,Cattle,Starvation/Drought,,Satellite camp,6,,5
1004,1,,4,2009,9,Cattle, Disease,,Satellite camp,1,,1
1004,1,,3,2009,9,Cattle,Starvation/Drought,,Satellite camp,2,,2
1004,1,,1,2009,7,Cattle,Starvation/Drought,,Satellite camp,5,,3
1004,3,0,1,.a,.a,Cattle,Starvation/Drought,,Base camp,4,,4
1004,3,0,2,.a,.a,Cattle,Raiding/Rustling/Conflict,,Satellite camp,7,,7
1004,7,,1,2020,4,Cattle,Starvation/Drought,,,1,1,
1005,1,,2,2008,9, Goat/Sheep,Starvation/Drought,,Base camp,2,,1
1005,1,,1,2009,8, Goat/Sheep,Starvation/Drought,,Base camp,5,,0
1005,2,,1,2009,12, Goat/Sheep,Starvation/Drought,,Base camp,2,,2
1005,3,0,1,2011,8, Goat/Sheep,Starvation/Drought,,Base camp,4,,0
1005,4,0,1,2011,12, Goat/Sheep, Disease,,Base camp,1,,1
1005,5,0,1,2012,11, Goat/Sheep,Predation,,Base camp,4,,2
1005,6,0,1,2014,10, Goat/Sheep, Disease,,Satellite camp,18,,10
1005,6,0,2,2014,12, Goat/Sheep,Predation,,Base camp,7,,2
1005,7,,2,2020,10,Goat, Disease,,,2,2,
1005,7,,1,2020,8,Goat, Disease,,,2,2,
1006,1,,1,2009,9, Goat/Sheep,Starvation/Drought,,Satellite camp,12,,0
1006,3,0,2,2011,4,Cattle,Raiding/Rustling/Conflict,,Base camp,2,,2
1006,3,0,3,2011,7, Goat/Sheep,Raiding/Rustling/Conflict,,Base camp,14,,14
1006,3,0,1,2011,3,Cattle,Starvation/Drought,,Base camp,1,,1
1007,1,,1,2009,9,Cattle,Starvation/Drought,,Base camp,7,,4
1007,2,,1,2010,6,Cattle, Disease,,Base camp,1,,1
1007,3,0,1,2011,8,Cattle,Starvation/Drought,,Base camp,1,,1
1007,3,0,2,2011,9,Cattle,Starvation/Drought,,Base camp,1,,1
1007,4,0,1,2011,11,Cattle,Starvation/Drought,,Base camp,2,,2
1007,4,0,3,2011,11, Goat/Sheep,Starvation/Drought,,Base camp,1,,1
1008,1,,1,2009,4, Goat/Sheep,Predation,,Base camp,1,,1
1008,1,,3,2009,8,Cattle,Starvation/Drought,,Base camp,1,,0
1008,1,,4,2009,9,Cattle,Starvation/Drought,,Base camp,1,,1
1008,1,,2,2009,5, Goat/Sheep, Disease,,Base camp,1,,1
1008,2,,1,2010,1,Cattle, Disease,,Base camp,1,,1
1008,3,0,1,2011,8,Cattle, Disease,,Base camp,1,,1
1008,4,0,2,2011,10, Goat/Sheep,Predation,,Base camp,1,,1
1008,4,0,1,2011,10, Goat/Sheep,Accident/Poisoned,,Base camp,4,,4
1008,5,0,2,2013,6, Goat/Sheep, Disease,,Base camp,3,,3
1008,5,0,3,2013,7, Goat/Sheep, Disease,,Base camp,3,,3
1008,5,0,1,2012,12,Cattle, Disease,,Base camp,1,,1
1009,1,,4,2009,8, Goat/Sheep,Starvation/Drought,,Satellite camp,22,,18
1009,1,,3,2009,8,Cattle,Starvation/Drought,,Satellite camp,4,,4
1009,1,,2,2009,7, Goat/Sheep,Starvation/Drought,,Satellite camp,15,,10
1009,1,,1,2009,7,Cattle,Starvation/Drought,,Satellite camp,20,,20
1009,3,0,4,2011,9, Goat/Sheep,Starvation/Drought,,Base camp,8,,8
1009,3,0,3,2011,8, Goat/Sheep,Starvation/Drought,,Base camp,10,,10
1009,3,0,1,2011,8,Cattle,Starvation/Drought,,Base camp,3,,3
1009,3,0,2,2011,9,Cattle,Starvation/Drought,,Base camp,1,,1
1009,4,0,2,2011,10, Goat/Sheep,Starvation/Drought,,Base camp,9,,9
1009,4,0,1,2012,8, Goat/Sheep,Predation,,Base camp,2,,2
1009,5,0,1,2013,7,Cattle,Accident/Poisoned,,Base camp,1,,1
1009,5,0,2,2013,3, Goat/Sheep,Raiding/Rustling/Conflict,,Base camp,12,,12
1010,1,,1,2009,9,Cattle,Starvation/Drought,,Satellite camp,24,,24
1010,3,0,1,.a,.a, Goat/Sheep,Starvation/Drought,,Satellite camp,4,,1
1012,1,,2,2009,7,Cattle,Starvation/Drought,,Base camp,3,,2
1012,1,,1,2009,6,Cattle,Starvation/Drought,,Base camp,1,,1
1012,1,,3,2009,8, Goat/Sheep,Starvation/Drought,,Base camp,7,,5
1013,1,,2,2009,5,Cattle,Starvation/Drought,,Satellite camp,3,,3
1013,1,,3,2009,6, Goat/Sheep,Starvation/Drought,,Satellite camp,5,,5
1013,1,,4,2009,7, Goat/Sheep,Starvation/Drought,,Satellite camp,12,,12
1013,1,,1,2009,4,Cattle,Starvation/Drought,,Satellite camp,2,,2
1013,3,0,1,2011,8, Goat/Sheep,Starvation/Drought,,Base camp,3,,3
1013,5,0,1,2013,3, Goat/Sheep,Raiding/Rustling/Conflict,,Base camp,7,,7
1013,6,0,1,2015,7, Goat/Sheep,Starvation/Drought,,Base camp,1,,0
1013,7,,1,2019,3,Goat,Predation,,,4,1,
1014,1,,3,2009,9,Cattle,Starvation/Drought,,Satellite camp,1,,1
1014,1,,1,2009,7,Cattle,Starvation/Drought,,Satellite camp,1,,1
1014,1,,2,2009,8,Cattle,Starvation/Drought,,Satellite camp,1,,1
1014,5,0,1,2013,1,Cattle, Disease,,Satellite camp,1,,1
1014,5,0,2,2013,1,Cattle,-97,HERDER SOLD IT WITHOUT OWNERS CONSENT,Base camp,1,,1
1014,6,0,1,2014,11, Goat/Sheep, Disease,,Base camp,1,,1
1014,6,0,2,2015,1, Goat/Sheep, Disease,,Base camp,2,,1
1015,1,,2,2009,7, Goat/Sheep,Starvation/Drought,,Base camp,5,,5
1015,1,,3,2009,8,Cattle,Starvation/Drought,,Base camp,5,,5
1015,1,,4,2009,8, Goat/Sheep,Starvation/Drought,,Base camp,5,,5
1015,1,,1,2009,7,Cattle,Starvation/Drought,,Base camp,10,,10
1015,7,,2,2020,11,Cattle,Raiding/Rustling/Conflict,,,2,2,
1015,7,,1,2020,11,Cattle,Predation,,,2,2,
1016,1,,2,2009,8,Cattle,Starvation/Drought,,Base camp,1,,1
1016,1,,1,2009,7,Cattle,Starvation/Drought,,Base camp,1,,1
1016,7,,1,2020,8,Goat,Accident/Poisoned,,,2,1,
1017,1,,2,2009,9,Cattle,Starvation/Drought,,Base camp,1,,1
1017,1,,1,2009,8,Cattle,Starvation/Drought,,Base camp,1,,1
1018,1,,4,2009,8,Cattle,Starvation/Drought,,Base camp,1,,1
1018,1,,2,2009,7,Cattle,Starvation/Drought,,Base camp,1,,1
1018,1,,3,2009,7, Goat/Sheep,Starvation/Drought,,Base camp,2,,2
1018,1,,1,2009,6,Cattle,Starvation/Drought,,Base camp,2,,2
1018,2,,1,2009,12,Cattle,Starvation/Drought,,Base camp,3,,2
1018,4,0,1,2011,12,Cattle, Disease,,Base camp,5,,5
1019,1,,1,2009,4,Cattle,Starvation/Drought,,Base camp,2,,2
1019,5,0,1,2013,1,Cattle, Disease,,Base camp,1,,1
1019,7,,1,2020,12, Sheep, Disease,,,1,1,
1020,1,,2,2009,9,Cattle, Disease,,Base camp,2,,2
1020,1,,1,2008,10,Cattle,Raiding/Rustling/Conflict,,Base camp,6,,6
1020,2,,1,2010,4, Goat/Sheep, Disease,,Base camp,1,,1
1020,3,0,1,2011,7,Cattle,Starvation/Drought,,Base camp,2,,2
1021,1,,2,2009,9,Cattle,Starvation/Drought,,Satellite camp,5,,4
1021,1,,1,2009,7,Cattle,Starvation/Drought,,Satellite camp,4,,4
1021,2,,1,2009,12,Cattle,Starvation/Drought,,Base camp,5,,5
1021,3,0,1,2011,8,Cattle,Starvation/Drought,,Base camp,2,,2
1021,3,0,2,2011,9,Cattle,Starvation/Drought,,Base camp,3,,3
1021,5,0,1,2012,12,Cattle, Disease,,Base camp,1,,1
1021,6,0,3,2015,8,Cattle,Starvation/Drought,,Base camp,1,,1
1021,6,0,2,2015,6,Cattle, Disease,,Base camp,1,,1
1021,6,0,1,2014,10,Cattle,Predation,,Base camp,1,,1
1022,1,,2,2009,9,Cattle,Starvation/Drought,,Satellite camp,1,,1
1022,1,,1,2009,8,Cattle,Starvation/Drought,,Satellite camp,1,,1
1022,4,0,1,2011,10,Camel,Accident/Poisoned,,Satellite camp,3,,3
1022,5,0,1,2012,10,Cattle,Starvation/Drought,,Base camp,2,,2
1022,7,,9,2020,10, Sheep, Disease,,,10,10,
1022,7,,8,2020,10, Sheep, Disease,,,10,10,
1022,7,,1,2020,8,Camel, Disease,,,3,3,
1022,7,,2,2020,10,Camel, Disease,,,3,3,
1022,7,,7,2020,10, Sheep, Disease,,,10,10,
1022,7,,3,2020,6, Sheep, Disease,,,10,10,
1022,7,,3,2020,10,Camel, Disease,,,3,3,
1022,7,,6,2020,10, Sheep, Disease,,,10,10,
1022,7,,4,2020,6, Sheep, Disease,,,10,10,
1022,7,,1,2019,2,Cattle,Starvation/Drought,,,1,1,
1022,7,,2,2020,6, Sheep, Disease,,,10,10,
1022,7,,10,2020,10, Sheep, Disease,,,10,10,
1022,7,,1,2020,6, Sheep, Disease,,,10,10,
1022,7,,5,2020,6, Sheep, Disease,,,10,10,
1023,1,,3,2009,9, Goat/Sheep,Predation,,Base camp,2,,2
1023,1,,1,2009,8,Cattle,Starvation/Drought,,Base camp,7,,4
1023,1,,4,2009,9, Goat/Sheep,Raiding/Rustling/Conflict,,Base camp,4,,3
1023,1,,2,2009,9,Cattle,Starvation/Drought,,Base camp,8,,4
1023,3,0,4,2011,9,Cattle,Starvation/Drought,,Base camp,3,,3
1023,3,0,1,2011,4,Cattle, Disease,,Base camp,2,,2
1023,3,0,2,2011,6,Cattle,Starvation/Drought,,Satellite camp,3,,0
1023,3,0,3,2011,6,Cattle,Starvation/Drought,,Base camp,3,,0
1023,5,0,1,2012,11,Cattle, Rain,,Base camp,1,,1
1024,1,,1,2009,8,Cattle,Starvation/Drought,,Base camp,6,,6
1024,1,,2,2009,9, Goat/Sheep,Raiding/Rustling/Conflict,,Base camp,26,,15
1024,2,,2,2010,8, Goat/Sheep, Disease,,Base camp,3,,3
1024,2,,1,2010,6, Goat/Sheep, Disease,,Base camp,3,,3
1024,3,0,1,2011,5,Cattle,Accident/Poisoned,,Base camp,2,,2
1024,3,0,2,2011,8, Goat/Sheep,Starvation/Drought,,Base camp,1,,1
1024,4,0,1,2011,12,Cattle, Disease,,Base camp,1,,1
1024,5,0,3,2013,9, Goat/Sheep, Disease,,Base camp,3,,2
1024,5,0,2,2013,4, Goat/Sheep, Disease,,Satellite camp,4,,4
1024,5,0,1,2013,3, Goat/Sheep, Disease,,Satellite camp,2,,2
1024,7,,1,2019,1,Cattle,Raiding/Rustling/Conflict,,,10,1,
1024,7,,1,2019,1,Goat,Raiding/Rustling/Conflict,,,50,1,
1025,1,,3,2009,8,Cattle,Starvation/Drought,,Satellite camp,16,,8
1025,1,,2,2009,7, Goat/Sheep,Starvation/Drought,,Satellite camp,30,,22
1025,1,,4,2009,8, Goat/Sheep,Starvation/Drought,,Satellite camp,25,,20
1025,1,,1,2009,7,Cattle,Starvation/Drought,,Satellite camp,11,,9
1025,3,0,2,2011,8, Goat/Sheep,Starvation/Drought,,Base camp,2,,2
1025,3,0,1,2011,7,Cattle,Starvation/Drought,,Base camp,1,,1
1025,4,0,1,2011,10, Goat/Sheep,Predation,,Base camp,2,,2
1025,5,0,1,2013,9,Cattle, Disease,,Base camp,1,,1
1025,5,0,2,2013,7,Cattle,Accident/Poisoned,,Base camp,1,,1
1025,6,0,3,2014,11, Goat/Sheep, Disease,,Base camp,1,,1
1025,6,0,2,2015,3, Goat/Sheep, Disease,,Base camp,2,,2
1025,6,0,1,2015,9, Goat/Sheep, Rain,,Base camp,1,,1
1026,1,,2,2009,7,Cattle,Starvation/Drought,,Satellite camp,1,,0
1026,1,,1,2009,7,Cattle,Starvation/Drought,,Base camp,2,,2
1026,2,,1,2009,12,Cattle,Starvation/Drought,,Base camp,5,,2
1026,5,0,1,2013,7, Goat/Sheep, Disease,,Base camp,1,,1
1026,7,,1,2020,7,Cattle,Predation,,,1,1,
1027,1,,1,2009,7,Cattle,Starvation/Drought,,Satellite camp,2,,1
1027,1,,2,2009,8,Cattle,Starvation/Drought,,Satellite camp,1,,1
1027,1,,3,2009,10,Cattle,Starvation/Drought,,Satellite camp,2,,1
1027,2,,1,2009,12, Goat/Sheep,Starvation/Drought,,Base camp,4,,4
1027,3,0,2,2011,4, Goat/Sheep,Starvation/Drought,,Base camp,1,,1
1027,3,0,1,2011,2,Cattle,Raiding/Rustling/Conflict,,Satellite camp,2,,2
1027,4,0,1,2011,10, Goat/Sheep, Disease,,Base camp,2,,2
1027,5,0,1,2012,12, Goat/Sheep,Starvation/Drought,,Base camp,1,,1
1029,1,,8,2009,9,Cattle,Starvation/Drought,,Satellite camp,3,,3
1029,1,,1,2009,3, Goat/Sheep,Starvation/Drought,,Satellite camp,5,,5
1029,1,,7,2009,9, Goat/Sheep,Starvation/Drought,,Satellite camp,3,,3
1029,1,,2,2009,4, Goat/Sheep,Starvation/Drought,,Satellite camp,10,,9
1029,1,,3,2009,5, Goat/Sheep,Starvation/Drought,,Satellite camp,12,,12
1029,1,,6,2009,8, Goat/Sheep,Starvation/Drought,,Satellite camp,20,,20
1029,1,,5,2009,7, Goat/Sheep,Starvation/Drought,,Satellite camp,5,,5
1029,1,,4,2009,6, Goat/Sheep,Starvation/Drought,,Satellite camp,3,,3
1029,2,,1,2010,1,Cattle, Disease,,Satellite camp,1,,1
1029,3,0,2,2011,4, Goat/Sheep, Disease,,Satellite camp,30,,20
1029,3,0,1,2011,4,Cattle,Starvation/Drought,,Satellite camp,2,,2
1029,3,0,3,2011,5, Goat/Sheep,Starvation/Drought,,Satellite camp,3,,3
1029,3,0,4,2011,7, Goat/Sheep,Starvation/Drought,,Satellite camp,7,,5
1029,3,0,5,2011,9, Goat/Sheep,Starvation/Drought,,Satellite camp,6,,3
1029,7,,2,2020,7, Sheep,Predation,,,6,4,
1029,7,,2,2020,7,Goat,Predation,,,5,3,
1029,7,,1,2020,6,Cattle, Disease,,,2,2,
1029,7,,3,2020,9, Sheep,Just lost,,,6,4,
1029,7,,1,2020,5,Goat, Disease,,,5,3,
1029,7,,4,2020,11, Sheep, Disease,,,6,4,
1029,7,,1,2020,7, Sheep, Disease,,,6,4,
1029,7,,3,2020,7,Goat,Just lost,,,5,3,
1029,7,,2,2020,8,Cattle,Accident/Poisoned,,,2,2,
1031,1,,1,2009,5,Cattle,Starvation/Drought,,Satellite camp,11,,2
1031,1,,2,2009,6,Cattle,Starvation/Drought,,Satellite camp,9,,4
1031,2,,1,2009,10,Cattle, Rain,,Satellite camp,12,,11
1031,2,,3,2010,8, Goat/Sheep, Disease,,Satellite camp,4,,0
1031,2,,2,2009,11,Cattle, Rain,,Satellite camp,5,,5
1031,3,0,1,2011,2,Cattle,Starvation/Drought,,Base camp,1,,1
1031,3,0,5,2011,8, Goat/Sheep, Disease,,Satellite camp,5,,4
1031,3,0,4,2011,8,Cattle, Disease,,Satellite camp,4,,2
1031,3,0,2,2011,4,Cattle,Starvation/Drought,,Base camp,2,,2
1031,3,0,3,2011,9,Cattle,Starvation/Drought,,Satellite camp,3,,0
1031,5,0,2,2013,2, Goat/Sheep,Just lost,,Base camp,1,,0
1031,5,0,1,2012,12, Goat/Sheep, Disease,,Base camp,1,,0
1032,1,,3,2009,7, Goat/Sheep,Starvation/Drought,,Satellite camp,58,,57
1032,1,,4,2009,8, Goat/Sheep,Starvation/Drought,,Satellite camp,20,,19
1032,1,,1,2009,7,Camel, Disease,,Satellite camp,2,,2
1032,1,,2,2009,7,Cattle,Starvation/Drought,,Satellite camp,3,,2
1032,4,0,1,2011,11,Camel,Starvation/Drought,,Satellite camp,4,,4
1032,4,0,2,2011,11,Cattle,Starvation/Drought,,Satellite camp,10,,10
1032,4,0,3,2011,11, Goat/Sheep,Starvation/Drought,,Satellite camp,34,,34
1032,5,0,2,2013,1, Goat/Sheep,Just lost,,Satellite camp,2,,2
1032,5,0,1,2012,10,Cattle, Disease,,Satellite camp,1,,1
1032,7,,1,2020,5, Sheep, Disease,,,3,1,
1033,1,,3,2009,9, Goat/Sheep,Starvation/Drought,,Satellite camp,30,,10
1033,1,,2,2009,9,Cattle,Starvation/Drought,,Satellite camp,40,,35
1033,1,,1,2009,8,Cattle,Starvation/Drought,,Satellite camp,10,,10
1033,3,0,1,2011,7,Camel, Disease,,Base camp,7,,7
1033,3,0,2,2011,6,Cattle,Starvation/Drought,,Base camp,18,,18
1033,3,0,3,2011,5, Goat/Sheep,Starvation/Drought,,Base camp,4,,4
1033,4,0,2,2012,5, Goat/Sheep, Disease,,Satellite camp,2,,0
1033,4,0,1,2012,4, Goat/Sheep, Disease,,Satellite camp,2,,2
1033,6,0,3,2015,5, Goat/Sheep, Disease,,Satellite camp,3,,0
1033,6,0,4,2015,8, Goat/Sheep,Starvation/Drought,,Satellite camp,3,,0
1033,6,0,2,2015,4,Camel, Disease,,Satellite camp,3,,0
1033,6,0,1,2015,3,Camel, Disease,,Satellite camp,3,,0
1033,7,,4,2020,11,Camel,Just lost,,,7,4,
1033,7,,2,2020,8,Camel, Disease,,,7,4,
1033,7,,1,2020,6,Camel, Disease,,,7,4,
1033,7,,3,2020,10,Camel,Predation,,,7,4,
1034,1,,2,2009,9,Cattle,Starvation/Drought,,Base camp,11,,10
1034,1,,1,2009,8,Cattle,Starvation/Drought,,Base camp,8,,8
1034,1,,3,2009,9,Cattle,Starvation/Drought,,Satellite camp,3,,3
1034,3,0,2,2011,9,Cattle,Starvation/Drought,,Base camp,29,,19
1034,3,0,1,2011,8,Cattle,Starvation/Drought,,Base camp,33,,29
1034,5,0,2,2013,2, Goat/Sheep, Disease,,Base camp,4,,4
1034,5,0,4,2013,8, Goat/Sheep, Disease,,Base camp,4,,4
1034,5,0,3,2013,5, Goat/Sheep, Disease,,Base camp,3,,3
1034,5,0,1,2013,2,Cattle,Starvation/Drought,,Base camp,2,,2
1034,7,,3,2020,9,Goat, Disease,,,3,3,
1034,7,,1,2020,4,Goat, Disease,,,3,3,
1034,7,,2,2020,7,Goat, Disease,,,3,3,
1035,1,,3,2009,9, Goat/Sheep,Starvation/Drought,,Satellite camp,50,,50
1035,1,,1,2009,8,Cattle,Starvation/Drought,,Satellite camp,3,,3
1035,1,,2,2009,8, Goat/Sheep,Starvation/Drought,,Satellite camp,100,,100
1035,3,0,3,2011,6, Goat/Sheep,Starvation/Drought,,Satellite camp,87,,38
1035,3,0,1,2011,3,Cattle,Starvation/Drought,,Satellite camp,1,,1
1035,3,0,2,2011,3, Goat/Sheep, Disease,,Satellite camp,56,,46
1035,3,0,4,2011,7, Goat/Sheep,Starvation/Drought,,Satellite camp,64,,50
1035,3,0,5,2011,9, Goat/Sheep,Starvation/Drought,,Satellite camp,43,,40
1035,4,0,2,2012,1, Goat/Sheep,Predation,,Satellite camp,2,,2
1035,4,0,1,2011,10,Cattle, Disease,,Satellite camp,1,,1
1036,1,,2,2009,3,Cattle,Starvation/Drought,,Base camp,1,,1
1036,1,,4,2009,6,Cattle,Starvation/Drought,,Satellite camp,1,,1
1036,1,,5,2009,8,Cattle,Starvation/Drought,,Satellite camp,2,,1
1036,1,,3,2009,4,Cattle,Starvation/Drought,,Base camp,3,,1
1036,1,,1,2009,3,Cattle,Predation,,Satellite camp,3,,3
1036,3,0,1,2010,12,Cattle,Raiding/Rustling/Conflict,,Base camp,26,,24
1036,5,0,1,2012,11,Cattle, Disease,,Base camp,2,,1
1036,5,0,2,2013,1,Cattle,Predation,,Base camp,1,,1
1037,1,,3,2009,8,Cattle,Starvation/Drought,,Satellite camp,2,,0
1037,1,,4,2009,9,Cattle,Starvation/Drought,,Satellite camp,6,,6
1037,1,,2,2009,7,Cattle,Starvation/Drought,,Satellite camp,3,,0
1037,1,,1,2009,6,Cattle,Starvation/Drought,,Satellite camp,4,,4
1037,3,0,1,2011,8,Cattle,Starvation/Drought,,Satellite camp,9,,6
1037,3,0,2,2011,9,Cattle,Starvation/Drought,,Base camp,7,,4
1038,1,,2,2009,8,Cattle,Starvation/Drought,,Base camp,20,,20
1038,1,,1,2009,7,Cattle,Starvation/Drought,,Base camp,10,,8
1038,2,,1,2009,12,Cattle,Starvation/Drought,,Base camp,5,,5
1039,1,,1,2009,6,Cattle,Starvation/Drought,,Base camp,4,,4
1039,1,,2,2009,7,Cattle,Starvation/Drought,,Base camp,2,,1
1039,1,,3,2009,9, Goat/Sheep, Disease,,Base camp,1,,1
1039,5,0,1,2013,5, Goat/Sheep,Predation,,Base camp,1,,1
1042,4,0,2,2011,10, Goat/Sheep,Starvation/Drought,,Base camp,6,,6
1042,4,0,1,2011,10,Cattle,Starvation/Drought,,Base camp,6,,6
1042,6,0,1,2015,7, Goat/Sheep, Disease,,Base camp,1,,1
1043,1,,2,2009,8, Goat/Sheep,Starvation/Drought,,Satellite camp,9,,5
1043,1,,1,2009,7, Goat/Sheep,Starvation/Drought,,Satellite camp,7,,3
1043,1,,3,2009,9, Goat/Sheep,Starvation/Drought,,Satellite camp,2,,2
1043,3,0,2,2011,5, Goat/Sheep,Starvation/Drought,,Satellite camp,4,,1
1043,3,0,3,2011,9, Goat/Sheep,Starvation/Drought,,Satellite camp,8,,4
1043,3,0,1,2011,2,Camel,Old age,,Satellite camp,1,,1
1043,4,0,1,2011,10,Camel, Disease,,Satellite camp,4,,1
1043,4,0,3,2012,7, Goat/Sheep,Predation,,Satellite camp,4,,0
1043,4,0,4,2012,8, Goat/Sheep, Disease,,Satellite camp,4,,0
1043,5,0,3,2013,1, Goat/Sheep,Just lost,,Satellite camp,3,,3
1043,5,0,2,2012,10, Goat/Sheep, Disease,,Satellite camp,3,,3
1043,5,0,1,2013,1,Camel, Disease,,Satellite camp,1,,1
1045,1,,1,2009,7,Cattle,Starvation/Drought,,Satellite camp,4,,3
1045,1,,2,2009,8,Cattle,Starvation/Drought,,Satellite camp,5,,3
1045,3,0,6,2011,2, Goat/Sheep,Starvation/Drought,,Base camp,1,,1
1045,3,0,1,.a,.a,Camel, Disease,,Base camp,1,,1
1045,3,0,5,2011,6,Cattle,Starvation/Drought,,Base camp,3,,3
1045,3,0,2,2011,2,Camel,Predation,,Base camp,1,,1
1045,3,0,4,2011,2,Cattle,Starvation/Drought,,Base camp,3,,3
1045,3,0,3,2011,3,Camel,Premature birth,,Base camp,1,,1
1047,1,,1,2008,9,Cattle,Accident/Poisoned,,Base camp,1,,1
1047,1,,2,2008,11,Cattle, Disease,,Base camp,1,,0
1047,3,0,3,2011,6, Goat/Sheep,Starvation/Drought,,Base camp,1,,1
1047,3,0,2,.a,.a,Cattle,Starvation/Drought,,Base camp,1,,1
1047,3,0,1,2011,9,Cattle,Starvation/Drought,,Base camp,2,,2
1047,4,0,4,2012,7, Goat/Sheep,Predation,,Base camp,4,,4
1047,4,0,1,2011,10,Cattle,Starvation/Drought,,Base camp,1,,1
1047,4,0,3,2011,11, Goat/Sheep,Starvation/Drought,,Base camp,3,,3
1047,4,0,2,2011,11,Cattle,Starvation/Drought,,Base camp,1,,1
1047,6,0,1,2015,9, Goat/Sheep, Disease,,Satellite camp,2,,1
1047,7,,1,2020,6,Goat,Predation,,,3,3,
1047,7,,2,2020,8,Goat, Disease,,,3,3,
1047,7,,3,2020,8,Goat, Disease,,,3,3,
2001,1,,3,2009,8,Cattle,Starvation/Drought,,Base camp,1,,1
2001,1,,2,2009,7,Cattle,Accident/Poisoned,,Base camp,1,,1
2001,1,,1,2009,6,Cattle, Disease,,Base camp,1,,1
2001,2,,1,2009,10,Cattle,Starvation/Drought,,Base camp,3,,1
2001,4,0,1,2011,12,Cattle,Starvation/Drought,,Base camp,1,,1
2001,7,,1,2020,7,Cattle, Disease,,,2,2,
2001,7,,2,2020,7,Cattle, Disease,,,2,2,
2002,1,,3,2009,3, Goat/Sheep, Disease,,Satellite camp,8,,8
2002,1,,4,2009,5, Goat/Sheep,Starvation/Drought,,Base camp,4,,4
2002,1,,6,2009,7,Cattle,Starvation/Drought,,Base camp,2,,2
2002,1,,9,2009,9, Goat/Sheep,Starvation/Drought,,Satellite camp,21,,15
2002,1,,8,2009,8, Goat/Sheep,Starvation/Drought,,Satellite camp,13,,8
2002,1,,2,2009,2,Cattle, Disease,,Base camp,2,,2
2002,1,,5,2009,6, Goat/Sheep,Starvation/Drought,,Satellite camp,8,,5
2002,1,,1,2008,10, Goat/Sheep, Disease,,Satellite camp,5,,2
2002,1,,7,2009,7, Goat/Sheep,Starvation/Drought,,Satellite camp,10,,6
2002,2,,1,2010,2, Goat/Sheep, Disease,,Satellite camp,6,,0
2002,2,,3,2010,8, Goat/Sheep, Disease,,Satellite camp,2,,0
2002,2,,2,2010,6, Goat/Sheep, Disease,,Satellite camp,5,,0
2002,3,0,3,2011,9, Goat/Sheep,Starvation/Drought,,Base camp,4,,0
2002,3,0,2,2011,9, Goat/Sheep,Starvation/Drought,,Base camp,27,,27
2002,3,0,1,2011,8,Cattle,Starvation/Drought,,Base camp,7,,7
2002,6,0,2,2015,3, Goat/Sheep,Starvation/Drought,,Base camp,2,,1
2002,6,0,1,2015,9, Goat/Sheep,Predation,,Satellite camp,1,,1
2002,6,0,3,2015,9, Goat/Sheep,Starvation/Drought,,Base camp,1,,1
2002,7,,1,2019,1,Goat, Rain,,,60,1,
2002,7,,1,2019,2,Camel, Disease,,,2,2,
2002,7,,2,2020,7,Camel, Disease,,,2,2,
2002,7,,1,2019,1,Cattle, Rain,,,7,1,
2003,1,,1,2008,.a, Goat/Sheep,Starvation/Drought,,Satellite camp,153,,132
2003,2,,1,2010,2, Goat/Sheep, Disease,,Satellite camp,2,,0
2003,2,,2,2010,6, Goat/Sheep, Disease,,Satellite camp,2,,2
2003,7,,1,2020,5,Goat, Disease,,,1,1,
2004,1,,1,2008,10, Goat/Sheep,Predation,,Base camp,7,,5
2004,1,,3,2009,6, Goat/Sheep,Starvation/Drought,,Base camp,3,,3
2004,1,,4,2009,7, Goat/Sheep,Starvation/Drought,,Base camp,2,,2
2004,1,,6,2009,9,Cattle,Starvation/Drought,,Satellite camp,4,,2
2004,1,,2,2009,5, Goat/Sheep, Disease,,Base camp,6,,4
2004,1,,5,2009,8,Cattle,Starvation/Drought,,Satellite camp,3,,2
2004,1,,8,2009,9, Goat/Sheep,Predation,,Base camp,1,,1
2004,1,,7,2009,9, Goat/Sheep,Starvation/Drought,,Base camp,2,,2
2004,2,,1,2010,6, Goat/Sheep,Accident/Poisoned,,Base camp,1,,0
